2019/11/04,10:07:34,cjacobsen
2019/11/05,07:41:04,cjacobsen
2019/11/05,08:17:39,cjacobsen
2019/11/05,08:21:30,cjacobsen
2019/11/05,08:24:47,cjacobsen
2019/11/05,08:25:26,cjacobsen
2019/11/05,08:26:30,cjacobsen
2019/11/05,08:28:51,cjacobsen
2019/11/05,08:29:47,cjacobsen
2019/11/05,08:31:38,cjacobsen
2019/11/05,08:31:55,cjacobsen
2019/11/05,08:32:43,cjacobsen
2019/11/05,08:38:56,cjacobsen
2019/11/05,08:39:35,cjacobsen
2019/11/05,08:39:44,cjacobsen
2019/11/05,09:59:41,cjacobsen
2019/11/05,10:49:45,cjacobsen
2019/11/05,10:58:27,cjacobsen
2019/11/05,02:23:27,cjacobsen
2019/11/05,02:24:02,cjacobsen
2019/11/05,05:24:15,cjacobsen
2019/11/06,07:54:49,admin
2019/11/06,10:49:48,cjacobsen
2019/11/06,10:50:02,cjacobsen
2019/11/06,11:33:07,cjacobsen
2019/11/06,11:46:02,cjacobsen
2019/11/06,11:46:25,cjacobsen
2019/11/06,11:47:13,cjacobsen
2019/11/06,02:34:40,cjacobsen
2019/11/07,07:23:13,cjacobsen
2019/11/07,08:39:25,cjacobsen
2019/11/07,10:14:55,cjacobsen
2019/11/07,10:26:34,cjacobsen
2019/11/07,10:27:34,cjacobsen
2019/11/07,10:28:17,cjacobsen
2019/11/07,10:33:42,cjacobsen
2019/11/07,10:38:29,cjacobsen
2019/11/07,02:33:09,cjacobsen
2019/11/07,02:36:33,cjacobsen
2019/11/07,02:38:02,cjacobsen
2019/11/07,02:38:30,cjacobsen
2019/11/07,02:39:09,cjacobsen
2019/11/07,02:39:57,cjacobsen
2019/11/07,02:40:16,cjacobsen
2019/11/07,02:44:15,cjacobsen
2019/11/07,02:47:26,cjacobsen
2019/11/07,02:48:10,cjacobsen
2019/11/07,02:51:05,cjacobsen
2019/11/07,02:53:56,cjacobsen
2019/11/07,02:55:02,cjacobsen
2019/11/07,02:57:01,cjacobsen
2019/11/07,02:58:20,cjacobsen
2019/11/07,02:58:50,cjacobsen
2019/11/07,03:00:04,cjacobsen
2019/11/07,03:00:50,cjacobsen
2019/11/07,03:02:19,cjacobsen
2019/11/07,03:03:01,cjacobsen
2019/11/07,03:03:18,cjacobsen
2019/11/07,03:04:58,cjacobsen
2019/11/07,03:05:01,cjacobsen
2019/11/07,03:05:12,cjacobsen
2019/11/07,03:05:48,cjacobsen
2019/11/07,03:05:54,cjacobsen
2019/11/07,03:06:25,cjacobsen
2019/11/07,03:06:32,cjacobsen
2019/11/07,03:07:12,cjacobsen
2019/11/07,03:07:23,cjacobsen
2019/11/07,03:08:08,cjacobsen
2019/11/07,03:08:15,cjacobsen
2019/11/07,03:09:23,cjacobsen
2019/11/07,03:09:40,cjacobsen
2019/11/07,03:10:03,cjacobsen
2019/11/07,03:10:24,cjacobsen
2019/11/07,03:11:54,cjacobsen
2019/11/07,03:13:05,cjacobsen
2019/11/07,03:13:40,cjacobsen
2019/11/07,03:15:13,cjacobsen
2019/11/07,04:19:54,cjacobsen
2019/11/07,04:26:57,cjacobsen
2019/11/07,04:30:52,cjacobsen
2019/11/07,04:31:48,cjacobsen
2019/11/07,05:04:36,cjacobsen
2019/11/07,05:08:41,cjacobsen
2019/11/07,05:09:45,cjacobsen
2019/11/07,05:10:48,cjacobsen
2019/11/07,05:22:37,cjacobsen
2019/11/07,05:25:51,cjacobsen
2019/11/07,05:28:48,cjacobsen
2019/11/07,05:30:20,cjacobsen
2019/11/07,05:30:59,cjacobsen
2019/11/07,05:31:12,cjacobsen
2019/11/07,05:31:45,cjacobsen
2019/11/07,05:32:02,cjacobsen
2019/11/07,05:33:59,cjacobsen
2019/11/07,05:34:14,cjacobsen
2019/11/07,05:38:15,cjacobsen
2019/11/07,07:34:17,cjacobsen
2019/11/09,10:27:27,cjacobsen
2019/11/11,09:44:58,cjacobsen
2019/11/12,12:03:27,cjacobsen
2019/11/12,01:02:51,cjacobsen
2019/11/13,08:07:07,cjacobsen
2019/11/13,03:12:50,cjacobsen
2019/11/13,03:18:00,teachtest
2019/11/13,03:18:12,cjacobsen
2019/11/14,10:26:00,jbeisler
2019/11/14,02:11:23,jbeisler
2019/11/14,06:27:22,cjacobsen
2019/11/14,06:34:25,cjacobsen
2019/11/15,03:22:17,nbranco
2019/11/18,08:23:29,jbeisler
2019/11/18,03:21:39,jbeisler
2019/11/21,10:34:20,jbeisler
2019/11/21,11:36:24,cjacobsen
2019/11/21,12:12:42,cjacobsen
2019/11/21,01:07:44,nbranco
2019/11/21,01:10:22,jbeisler
2019/11/22,09:40:07,cjacobsen
2019/11/22,11:19:52,cjacobsen
2019/11/22,06:47:44,cjacobsen
2019/11/22,08:32:32,cjacobsen
2019/11/22,08:54:34,cjacobsen
2019/11/22,09:01:42,cjacobsen
2019/11/22,09:03:11,cjacobsen
2019/11/22,09:56:51,cjacobsen
2019/11/22,09:57:10,admin
2019/11/22,09:58:43,cjacobsen
2019/11/22,10:00:15,cjacobsen
2019/11/22,10:29:31,cjacobsen
2019/11/23,10:44:34,cjacobsen
2019/11/23,10:54:15,cjacobsen
2019/11/23,10:56:19,cjacobsen
2019/11/23,10:56:41,cjacobsen
2019/11/23,10:58:00,cjacobsen
2019/11/23,10:58:50,cjacobsen
2019/11/23,10:59:05,cjacobsen
2019/11/23,02:18:01,
2019/11/23,02:22:47,
